pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,year,month,date,dayofweek,hour,minute,distance,predicted_fare_amount
-73.97332001,40.76380539,-73.98143005,40.74383545,1,2015,1,27,1,13,8,2.323262691471567,9.438345745430297
-73.98686218,40.71938324,-73.99888611,40.73920059,1,2015,1,27,1,13,8,2.4253562515888265,9.571126452162503
-73.982524,40.75126,-73.979654,40.746139,1,2011,10,8,5,11,53,0.6186287254541544,5.1073480169125105
-73.98116,40.767807,-73.990448,40.751635,1,2012,12,1,5,21,12,1.9610352245702787,8.27513457188195
-73.966046,40.789775,-73.988565,40.744427,1,2012,12,1,5,21,12,5.387308695076955,14.866705570720796
-73.960983,40.765547,-73.979177,40.740053,1,2012,12,1,5,21,12,3.222553328969579,10.700988899768731
-73.949013,40.773204,-73.959622,40.770893,1,2011,10,6,3,12,10,0.929602593302447,5.575991627272515
-73.777282,40.646636,-73.985083,40.759368,1,2011,10,6,3,12,10,21.54013141642754,44.005970423664166
-74.014099,40.709638,-73.995106,40.741365,1,2011,10,6,3,12,10,3.8739670463995837,11.356187293932066
-73.969582,40.765519,-73.980686,40.770725,1,2014,2,18,1,15,22,1.0997954289749663,6.625280076901959
-73.989374,40.741973,-73.9993,40.722534,1,2014,2,18,1,15,22,2.317688363579585,9.312549223133715
-74.001614,40.740893,-73.956387,40.767437,1,2014,2,18,1,15,22,4.819185356828476,13.650355016743333
-73.991198,40.739937,-73.997166,40.735269,1,2010,3,29,0,20,20,0.7226707033057858,4.946954075020017
-73.982034,40.762723,-74.001867,40.761545,1,2010,3,29,0,20,20,1.6755054502754825,6.598636977060664
-73.992455,40.728701,-73.983397,40.750149,1,2011,10,6,3,3,59,2.504035801338063,8.546994105946055
-73.983583,40.746993,-73.951178,40.785903,1,2011,10,6,3,3,59,5.115382232334968,13.20425283674706
-74.006746,40.731721,-74.010204,40.732318,1,2012,7,15,6,16,45,0.2988384528988248,4.857832716796565
-73.976446,40.785598,-73.95222,40.772121,1,2012,7,15,6,16,45,2.5311509582382112,8.808387913104184
-73.973548,40.763349,-73.972096,40.756417,1,2012,7,15,6,16,45,0.7804455450343262,5.566228595779421
-73.970918,40.756025,-73.975954,40.755563,1,2012,7,15,6,16,45,0.4272825535326708,4.879747136253968
-73.926071,40.705866,-73.941741,40.714789,1,2014,10,29,2,2,9,1.6519477852055477,8.038791225036562
-73.970555,40.764702,-73.949132,40.7718,1,2014,6,14,5,13,39,1.9692132676408804,8.290313185763353
-73.989102,40.73636,-73.992767,40.747767,1,2014,6,14,5,13,39,1.3054430576370735,7.225634580701012
-74.003525,40.74848,-73.99152,40.76296,1,2014,6,14,5,13,39,1.9012971295447856,8.295265503265796
-73.990352,40.759992,-74.015665,40.711682,1,2014,6,14,5,13,39,5.779728321314978,16.107107692463046
-73.989482,40.75745,-74.00085,40.762705,1,2014,6,14,5,13,39,1.1216881428444272,6.834095974337629
-73.870785,40.773722,-73.741922,40.689945,1,2014,6,14,5,13,39,14.306559391665168,31.92811102682265
-73.992682,40.733877,-73.938852,40.80822,1,2014,6,14,5,13,39,9.427883118666855,22.050301921069376
